Name,Typ Einträge,AI assist
Baugenossenschaft des Kaufm. Verbandes ZH - Vermietungsbestimmungen,Vermietungsbestimmungen,"Im Vermietungsreglement der Baugenossenschaft des Kaufm. Verbandes Zürich (BG KVZ) steht:

- Es gibt keine explizite zeitliche Begrenzung, wie lange man in der Genossenschaft oder in einer Wohnung bleiben darf.
- Die Begriffe ""Bleiberecht"" oder ""Wohnrecht"" werden nicht spezifisch verwendet.
- Ein Ausschluss aus der Genossenschaft kann erfolgen, wenn ein Mitglied gegen die Statuten oder Reglemente verstösst oder seinen finanziellen Verpflichtungen nicht nachkommt.
- Ein Wohnungsverlust (Kündigung) kann erfolgen, wenn die Mieterin/der Mieter gegen die Hausordnung oder die vertraglichen Verpflichtungen verstösst.
- Es wird kein Anspruch auf eine Ersatzwohnung erwähnt."
Baugenossenschaft Zürileu - Statuten,Statuten,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Es gibt keine zeitliche Begrenzung für die Mitgliedschaft oder das Wohnrecht in den Statuten. Die Mitgliedschaft und das Mietverhältnis bestehen grundsätzlich unbefristet, solange die Bedingungen der Statuten und des Mietvertrags eingehalten werden.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Es wird kein spezieller Begriff wie ""Bleiberecht"" oder ""Wohnrecht"" verwendet. Die Statuten sprechen von ""Mitgliedschaft"" und ""Mietverhältnis"".

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ein Mitglied kann durch den Vorstand ausgeschlossen werden, wenn ein wichtiger Grund vorliegt, z.B.:
  - Verletzung der Mitgliedschaftspflichten oder der genossenschaftlichen Treuepflicht
  - Missachtung von Beschlüssen der Organe
  - Schädigung des Ansehens oder der wirtschaftlichen Belange der Genossenschaft
  - Nichtwohnen in der gemieteten Wohnung (Residenzpflicht)
  - Zweckentfremdung der Wohnung (z.B. gewerbliche Nutzung)
  - Missachtung der Statuten
  - Ablehnung eines Umsiedlungsangebotes bei Unterbelegung
  - Beschluss über umfassende Renovation oder Abbruch
  - Vorliegen eines ausserordentlichen mietrechtlichen Kündigungsgrundes (z.B. gemäss Art. 257d, 257f, 266g, 266h OR)
  - Verletzung von Bestimmungen der Wohnbauförderung, sofern kein Umsiedlungsangebot gemacht oder angenommen wurde

Vor dem Ausschluss erfolgt in der Regel eine Mahnung, außer wenn diese nutzlos ist oder eine sofortige Kündigung nach Mietrecht erfolgt.

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Die Kündigung des Mietvertrags richtet sich nach den mietrechtlichen Bestimmungen und setzt das Vorliegen eines Grundes voraus, der auch zum Ausschluss aus der Genossenschaft berechtigen würde (siehe oben).

- Wird ein Ersatz angeboten?
Bei Unterbelegung oder bei Renovation/Abbruch kann ein Umsiedlungsangebot gemacht werden. Wird dieses abgelehnt, kann dies zum Ausschluss führen. Ein genereller Anspruch auf Ersatzwohnung besteht nicht, aber es kann ein Angebot gemacht werden.

Quelle: Statuten der Baugenossenschaft Zürileu, insbesondere Art. 4, 7–12."
Baugenossenschaft Waidmatt - Vermietungsbestimmungen,Vermietungsbestimmungen,"Ich konnte die Vermietungsbestimmungen der Baugenossenschaft Waidmatt unter dem angegebenen Link nicht einsehen, da die Datei ungültig oder nicht zugänglich ist. Daher kann ich keine Antworten zu den gewünschten Fragen geben."
Baugenossenschaft Waidmatt - Statuten,Statuten,"Ich konnte die Statuten unter dem angegebenen Link nicht einsehen, da die Datei ungültig oder nicht zugänglich ist. Daher kann ich keine Antworten zu den gewünschten Fragen geben."
Baugenossenschaft Uster - Statuten,Statuten,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Die Statuten nennen keine zeitliche Begrenzung für die Mitgliedschaft oder das Wohnrecht. Die Dauer ist unbeschränkt, solange die Bedingungen der Mitgliedschaft und des Mietverhältnisses eingehalten werden.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Eine spezifische Bezeichnung wie ""Bleiberecht"" oder ""Wohnrecht"" wird in den Statuten nicht verwendet. Es wird allgemein von Mitgliedschaft und Miete gesprochen.

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ein Genossenschafter, der die Interessen der Genossenschaft verletzt, kann durch den Vorstand jederzeit ausgeschlossen werden (§7). Der Ausgeschlossene kann innerhalb von 30 Tagen Berufung an die Generalversammlung einlegen.

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Die Statuten regeln dies nicht explizit. Es wird aber festgehalten, dass der Austritt aus der Genossenschaft den Auszug aus der Wohnung voraussetzt (§15 Abs. 4).

- Wird ein Ersatz angeboten?
Dazu findet sich in den Statuten keine Angabe."
Stiftung einfach Wohnen - Vermietungsbestimmungen,Vermietungsbestimmungen,"Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Es gibt keine explizite zeitliche Begrenzung für die Dauer des Wohnens in der Genossenschaft oder in einer Wohnung. Die Mindestbelegungsvorschriften und Einkommenslimiten müssen jedoch während der Mietdauer eingehalten werden. Bei Unterschreitung der Mindestbelegung oder Überschreitung der Einkommenslimiten kann das Mietverhältnis gefährdet sein.

Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Eine spezifische Bezeichnung wie ""Bleiberecht"" oder ""Wohnrecht"" wird auf der Webseite nicht genannt.

Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Dazu finden sich auf der Webseite keine Angaben.

Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Ein Ausschluss aus der Wohnung kann erfolgen, wenn die Mindestbelegung (Zimmerzahl minus eins = Mindestpersonenzahl) oder die Einkommenslimiten nicht mehr eingehalten werden. Details zu weiteren Ausschlussgründen sind auf der Webseite nicht aufgeführt.

Wird ein Ersatz angeboten?
Dazu finden sich auf der Webseite keine Angaben."
Stiftung einfach Wohnen - Vermietungsbestimmungen,Vermietungsbestimmungen,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Es gibt keine explizite zeitliche Begrenzung für die Dauer des Wohnens. Der Verbleib ist an die Einhaltung der Vermietungsvorschriften (Belegung, wirtschaftliche Verhältnisse, Wohnsitz in Zürich) gebunden. Bei Nichteinhaltung kann nach einer Frist von bis zu drei Jahren das Mietverhältnis gekündigt werden.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Es wird kein spezieller Begriff wie ""Bleiberecht"" oder ""Wohnrecht"" verwendet. Es wird von ""Mietverhältnis"" und ""Verbleib in der Wohnung"" gesprochen.

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Das Reglement spricht nicht explizit von einem Ausschluss aus der Genossenschaft, sondern von der Kündigung des Mietverhältnisses. Gründe sind: wiederholte oder grobe Verletzung der Vermietungsvorschriften, Verletzung der Auskunftspflicht oder Täuschung.

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Kündigung des Mietverhältnisses ist möglich bei:
  - Nichteinhaltung der Belegungs- oder Einkommensvorschriften nach Ablauf von bis zu drei Jahren und Ablehnung von zwei Ersatzangeboten.
  - Verletzung der Auskunftspflicht oder Täuschung.
  - Wiederholte Missachtung des Zustimmungserfordernisses bei Untermiete.

- Wird ein Ersatz angeboten?
Ja, bei notwendigem Wohnungswechsel wegen Unterbelegung oder baulichen Massnahmen werden nach Möglichkeit zwei geeignete Ersatzangebote gemacht. Lehnt die Person beide ab, kann gekündigt werden. Bei Nichteinhaltung der wirtschaftlichen Vorgaben wird bei der Suche einer Ersatzwohnung geholfen. Bei besonderen Härtefällen (Alter, Krankheit) kann auf einen Wohnungswechsel verzichtet werden.

Quelle: https://einfach-wohnen.ch/wp-content/uploads/2023/12/Vermietungsreglement-SEW-vom-5.12.2023.pdf"
HGW - Statuten,Statuten,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Eine zeitliche Begrenzung für die Mitgliedschaft oder das Wohnrecht ist in den Statuten nicht festgelegt. Die Genossenschaft ist auf unbeschränkte Dauer gegründet. Mitglieder sind verpflichtet, selbst in der Wohnung zu wohnen und dort zivilrechtlichen Wohnsitz zu haben. Bei Unterbelegung kann der Vorstand das Mietverhältnis kündigen und den Ausschluss aus der Genossenschaft verfügen, wenn ein zumutbares Angebot für einen Wohnungswechsel abgelehnt wird.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Es wird von ""Mitgliedschaft"", ""Mietverhältnis"" und ""Wohnungsrecht"" gesprochen. Ein explizites ""Bleiberecht"" oder ""Wohnrecht"" als feststehender Begriff wird nicht verwendet.

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ein Mitglied kann ausgeschlossen werden, wenn ein wichtiger Grund vorliegt, z.B.:
  - Verletzung der Mitgliedschaftspflichten oder der Treuepflicht
  - Missachtung der Statuten oder Beschlüsse
  - Schädigung des Ansehens oder der wirtschaftlichen Belange der Genossenschaft
  - Missachtung der Pflicht, selbst in der Wohnung zu wohnen
  - Untermiete ohne Zustimmung
  - Zweckentfremdung der Wohnung
  - Ablehnung eines zumutbaren Wohnungswechsels bei Unterbelegung oder Um-/Ersatzneubauten
  - Scheidung/Trennung (spezielle Regelung)
  - Mietrechtliche Kündigungsgründe nach OR (z.B. Zahlungsverzug, schwere Pflichtverletzung)
  - Verletzung von Bestimmungen der Wohnbauförderung

Vor dem Ausschluss erfolgt in der Regel eine Mahnung, außer sie wäre nutzlos oder es liegt ein schwerwiegender mietrechtlicher Grund vor.

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Die Kündigung des Mietvertrags richtet sich nach den mietrechtlichen Bestimmungen. Sie setzt das Vorliegen eines Grundes voraus, der auch zum Ausschluss aus der Genossenschaft berechtigen würde (siehe oben).

- Wird ein Ersatz angeboten?
Bei Unterbelegung und bei Um- oder Ersatzneubauten bietet die Genossenschaft nach Möglichkeit eine Ersatzwohnung an. Wird ein zumutbares Angebot für einen Wohnungswechsel abgelehnt, kann das Mietverhältnis gekündigt und der Ausschluss aus der Genossenschaft ausgesprochen werden. Bei grösseren Umbauten/Ersatzneubauten wird mindestens ein Jahr im Voraus informiert und nach Möglichkeit eine Ersatzwohnung angeboten. Bei der Neuvermietung werden bisherige Mietende bevorzugt, sofern sie den Richtlinien entsprechen.

Quelle: https://www.hgw-wohnen.ch/100-wohnen/dokumente-mieterservice/132_hgw-statuten_2021.pdf"
HGW - Vermietungsbestimmungen,Vermietungsbestimmungen,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Es gibt keine explizite zeitliche Begrenzung. Das Mietverhältnis besteht, solange die Belegungsgrundsätze (z.B. angemessene Wohnungsbelegung) eingehalten werden. Bei Unterbelegung wird erwartet, dass das Mietobjekt innert angemessener Frist wieder korrekt belegt wird. Wird dies abgelehnt, kann das Mietverhältnis gekündigt werden.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Es wird kein spezieller Begriff wie ""Bleiberecht"" oder ""Wohnrecht"" verwendet. Es wird von ""Mietverhältnis"" und ""Mitgliedschaft in der Genossenschaft"" gesprochen.

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Bei Nichteinhaltung der Belegungsgrundsätze (z.B. Unterbelegung, Überbelegung, oder bei subventionierten Wohnungen das Nicht-Erfüllen der kantonalen Vorschriften) kann der Vorstand den Ausschluss aus der Genossenschaft beschliessen.

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Wenn die Belegungsgrundsätze nicht mehr erfüllt werden (z.B. Unterbelegung und Ablehnung eines Wohnungswechsels), kann das Mietverhältnis gekündigt werden. Bei subventionierten Wohnungen führt das Nicht-Erfüllen der kantonalen Vorschriften zur Kündigung.

- Wird ein Ersatz angeboten?
Bei Unterbelegung bietet die Genossenschaft kleinere Wohneinheiten als Ersatz an. Wird der Wohnungswechsel abgelehnt, kann das Mietverhältnis gekündigt werden."
habitat8000 - Statuten,Statuten,"In den Statuten der Genossenschaft habitat8000 finden sich keine spezifischen Regelungen zur maximalen Aufenthaltsdauer in der Genossenschaft oder in einer Wohnung. Es gibt auch keine explizite Bezeichnung wie ""Bleiberecht"" oder ""Wohnrecht"" für das Wohnverhältnis.

Zu Ausschlussgründen aus der Genossenschaft: Die Statuten regeln, dass der Verwaltungsrat die Eintragung ins Aktienbuch verweigern oder streichen kann, wenn wichtige Gründe vorliegen, z.B. wenn der Erwerber eine die Gesellschaft schädigende Tätigkeit ausübt oder falsche Angaben gemacht wurden. Weitere Gründe sind die Gefährdung des Gesellschaftszwecks oder der wirtschaftlichen Selbständigkeit der Gesellschaft.

Zu einem möglichen ""Rauswurf"" aus einer Wohnung oder einem Ersatzangebot finden sich in den Statuten keine Angaben. Es gibt keine expliziten Regelungen zum Entzug des Wohnrechts oder zur Bereitstellung eines Ersatzes. 

Quelle: Statuten habitat8000, Stand 26. Juni 2025."
