Name,URL,Genossenschaft,Typ Einträge,Select,AI Summary Vermietungsbestimmungen
Baugenossenschaft des Kaufm. Verbandes ZH - Vermietungsbestimmungen,https://bgkvz.ch/wp-content/uploads/2025/05/Vermietungsreglement-BG-KVZ.pdf,Baugenossenschaft des Kaufm. Verbandes ZH,Vermietungsbestimmungen,PDF,"Zwingend
- nichts gefunden

Bevorzugend
- nichts gefunden

Änderungen
- nichts gefunden"
Baugenossenschaft Waidmatt - Vermietungsbestimmungen,https://www.waidmatt.ch/index.php/download_file/view/1230/192/,Baugenossenschaft Waidmatt,Vermietungsbestimmungen,PDF,"Zwingend
- Mitgliedschaft in der Genossenschaft (in der Regel Voraussetzung für einen Mietvertrag, siehe Art. 1)
- Einhaltung der Mindest- und Maximalbelegung je nach Wohnungstyp (Art. 6)
- Bei Erst- oder Neuvermietung darf keine Unterbelegung vorliegen (Art. 7)
- Für Wohnungen mit 4 oder mehr Zimmern und über 80 m²: Feste Lebensgemeinschaft mit mindestens einem Kind (bis 27 Jahre) oder Wohngemeinschaft (Art. 6)
- Änderungen der Anzahl der in der Wohnung lebenden Personen sind der Geschäftsstelle zu melden (Art. 6)
- Falsche Angaben führen zum Ausschluss aus der Genossenschaft (Art. 12)
- Für subventionierte Wohnungen gelten die städtischen und kantonalen Vorgaben (Art. 4)

Bevorzugend
- BGW-intern wohnhafte Genossenschafter (z.B. bei Umsiedlungen, Unter-/Überbelegung, gesundheitlichen, finanziellen oder sozialen Gründen) werden bevorzugt (Art. 2)
- Engagement für die Genossenschaft (Art. 2)
- Gute soziale Durchmischung und ausgewogener Mietermix nach Demografie (Art. 2)
- Mitglieder, die wegen Umbau/Ersatzneubau umziehen müssen, haben Anspruch auf eine Ersatzwohnung, sofern Bonität gegeben ist (Art. 5)

Änderungen
- Bei Unterbelegung während der Mietdauer: Angebot von Ersatzwohnungen, Solidaritätsbeitrag (150 CHF pro überzähliges Zimmer/Monat), bei starker Unterbelegung (2 oder mehr Personen) droht Ausschluss (Art. 7, 8)
- Nach Auszug oder Wegfall von Kindern (über 27 Jahre): Wohnung muss nach max. 2 Jahren für Familien mit Kindern freigegeben werden (Art. 6)
- Bei Scheidung/Trennung oder Todesfall: Karenzfrist von 2 Jahren, danach Anwendung der Unterbelegungsregeln (Art. 9, 10)
- Bei schwer vermietbaren Objekten oder vor Erneuerungen kann Unterbelegung ausnahmsweise geduldet werden (Art. 11)

Weitere Kriterien wie Lohn, Alter, aktueller Wohnort, Staatsbürgerschaft oder Anstellungsverhältnis werden im Reglement nicht explizit genannt."
Stiftung einfach Wohnen - Vermietungsbestimmungen,https://einfach-wohnen.ch/vermietung/#Belegungsvorschriften_und_Einkommenslimiten,Stiftung einfach Wohnen,Vermietungsbestimmungen,Webseite,"Zwingend
- Belegungsvorschriften: Die Anzahl der Personen muss bei der Bewerbung der Anzahl Zimmer entsprechen (z.B. 2 Personen für 2 Zimmer, 4 Personen für 4,5 Zimmer). Während der Mietdauer muss mindestens Zimmerzahl minus eins an Personen in der Wohnung leben.
- Einkommenslimiten: Das steuerbare Einkommen aller Personen im Haushalt darf beim Mietbeginn höchstens das Fünffache (bei Zielbelegung) bzw. Vierfache (bei Mindestbelegung) des Brutto-Jahresmietzinses betragen.
- Für subventionierte Wohnungen: Mindestens 2 Jahre Wohnsitz im Kanton Zürich, steuerbares Vermögen aller im Haushalt lebenden Personen max. 200'000 Franken, CH-Staatsbürgerschaft oder Ausweis B/C.

Bevorzugend
- Keine expliziten bevorzugenden Kriterien gefunden, ausser dass bei subventionierten Wohnungen die kantonalen Wohnbauförderungsbestimmungen gelten (z.B. längerer Wohnsitz im Kanton Zürich).

Änderungen
- Während des Mietverhältnisses dürfen Einkommen und Vermögen ansteigen: Das Einkommen darf auf das Siebenfache (bei Zielbelegung) bzw. Sechsfache (bei Mindestbelegung) des Brutto-Jahresmietzinses steigen.
- Die Mindestbelegung reduziert sich auf Zimmerzahl minus eins, falls z.B. Kinder ausziehen."
Stiftung einfach Wohnen - Vermietungsbestimmungen,https://einfach-wohnen.ch/wp-content/uploads/2023/12/Vermietungsreglement-SEW-vom-5.12.2023.pdf,Stiftung einfach Wohnen,Vermietungsbestimmungen,PDF,"Zwingend
- Zivil- und steuerrechtlicher Wohnsitz in der Stadt Zürich.
- Einkommen und Vermögen: Die Wohnungen werden an Personen mit kleinen und mittleren Einkommen und Vermögen vermietet. Das massgebende Haushaltseinkommen darf zum Vermietungszeitpunkt das Fünffache (bei Zielbelegung) bzw. das Vierfache (bei Mindestbelegung) des jährlichen Bruttomietzinses nicht übersteigen.
- Angemessenes Verhältnis zwischen wirtschaftlichen Verhältnissen und Mietzins.
- Die Wohnungsgrösse und die Zahl der Bewohner müssen in einem angemessenen Verhältnis stehen (Zielbelegung: Personenzahl = Zimmerzahl; Mindestbelegung: Zimmerzahl minus 1).
- Die Wohnung muss als einziger und dauerhafter Wohnsitz genutzt werden.

Bevorzugend
- Personen, die auf dem Wohnungsmarkt benachteiligt sind, werden vorab berücksichtigt.
- Sozial vielseitig zusammengesetzte Mieterschaft wird angestrebt.

Änderungen
- Bei Nichteinhaltung der Belegungs- oder Einkommensvorschriften ist ein Wohnungswechsel erforderlich. Die Stiftung kann nach Möglichkeit Ersatzangebote machen. Wird keine Ersatzwohnung gefunden oder abgelehnt, kann das Mietverhältnis gekündigt werden.
- Bei Überschreiten der Einkommens- und Vermögensgrenzen oder Unterbelegung wird eine Solidaritätsabgabe erhoben.
- Bei besonderen Härtefällen (hohes Alter, Krankheit, spezielle Lebenssituation) kann auf einen Wohnungswechsel verzichtet werden.
- Die Einhaltung der Kriterien wird mindestens alle zwei Jahre überprüft. Bei Verletzung der Auskunftspflicht oder Täuschung kann das Mietverhältnis ausserordentlich gekündigt werden."
HGW - Vermietungsbestimmungen,https://www.hgw-wohnen.ch/100-wohnen/dokumente-mieterservice/110_hgw_vermietungsrichtlinien_2021.pdf,HGW,Vermietungsbestimmungen,PDF,"Zwingend
- Beitritt zur Genossenschaft (Mitgliedschaft) und Übernahme von fünf Genossenschaftsanteilen à CHF 100.– pro Anteil.
- Definitive Aufnahme erst nach Überweisung des entsprechenden Anteilscheinkapitals und des Beitrags für die Genossenschaftsanteile.
- Die Mietenden müssen selbst in der gemieteten Wohnung wohnen (Selbstnutzung).
- Die Aufnahme in die Genossenschaft wird durch den Vorstand beschlossen (kein Anspruch auf Aufnahme).
- Bei subventionierten Wohnungen: Einhaltung der kantonalen Vorschriften (bei Nichteinhaltung Ausschluss und Kündigung).
- Wohnungsgrösse, Zahl der Bewohnenden und deren Einkommen müssen in einem angemessenen Verhältnis stehen.
- Pro Wohneinheit maximal 2 Mitglieder.

Bevorzugend
- Familien (Paare oder Einzelpersonen mit Kind/Kindern) haben bei Familienwohnungen (ab 3 Zimmern) Vorrang gegenüber Haushalten mit ausschliesslich erwachsenen Personen.
- Kinder, die bei getrenntlebenden Elternteilen wohnen, werden ab einem Aufenthalt von zwei Tagen pro Woche bzw. 8 Tagen pro Monat an die Mindestbelegung angerechnet.

Änderungen
- Bei Über- oder Unterbelegung während der Mietdauer gelten die Regeln als Richtlinien.
- Bei Unterbelegung wird erwartet, dass innert angemessener Frist ein Wohnungswechsel erfolgt oder die Familienwohnung wieder ihrem Zweck entspricht.
- Die Genossenschaft bietet kleinere Wohneinheiten an. Wird der Wohnungswechsel abgelehnt, kann das Mietverhältnis gekündigt und der Ausschluss aus der Genossenschaft ausgesprochen werden.

Weitere Kriterien wie Lohnhöhe, Alter, aktueller Wohnort, Staatsbürgerschaft oder Anstellungsverhältnis werden nicht explizit genannt, ausser dass das Einkommen in einem angemessenen Verhältnis zur Wohnungsgrösse und -belegung stehen soll."
Gemeinnützige Baugenossenschaft Richterswil - Vermietungsbestimmungen,https://www.wohnenplus-richterswil.ch/pdf/vermietungsrichtlinien.pdf,Gemeinnützige Baugenossenschaft Richterswil,Vermietungsbestimmungen,PDF,"Zwingend
- Die Mieterinnen und Mieter müssen selber in der gemieteten Wohnung wohnen und in Richterswil den zivilrechtlichen Wohnsitz haben.
- Für öffentlich subventionierte Wohnungen gelten zusätzlich die Anforderungen der Wohnbauförderung des Kantons Zürich.
- Die Belegungsvorschriften (z.B. Anzahl Personen pro Wohnungsgrösse) müssen eingehalten werden.
- Angemessene Grösse des Einkommens im Verhältnis zum Mietzins.
- Zahlungsfähigkeit und Zahlungsmoral müssen gegeben sein.
- Verständigungsmöglichkeit muss gegeben sein.

Bevorzugend
- Genossenschafterinnen und Genossenschafter werden prioritär behandelt.
- Menschen, die sich mit den genossenschaftlichen Werten identifizieren und sich für das gemeinschaftliche Zusammenleben engagieren, werden angesprochen.
- Wohnungswechsel aufgrund veränderter finanzieller oder sozialer Verhältnisse (z.B. Unter- oder Überbelegung, veränderte Zahlungskraft) werden berücksichtigt.

Änderungen
- Bei Unter- oder Überbelegung (z.B. Kinder ziehen aus) muss dies gemeldet und ein Gesuch für einen Wohnungswechsel eingereicht werden.
- Die Genossenschaft bietet innerhalb eines Jahres Ersatzangebote an. Werden diese abgelehnt, kann die Wohnung gekündigt werden.
- Wird die Meldung der Unterbelegung unterlassen, kann das Mietverhältnis gekündigt werden.
- Bei veränderter Zahlungskraft oder Verletzung der Subventionsvorschriften kann ein Wohnungswechsel verlangt werden."
Baugenossenschaft Im Michel - Vermietungsbestimmungen,https://www.bgim.ch/wp-content/uploads/2021/01/Vermietungsreglement.pdf,Baugenossenschaft Im Michel,Vermietungsbestimmungen,PDF,"Zwingend
- Die Wohnungsgrösse und die Zahl der Benutzer müssen in einem angemessenen Verhältnis stehen (Belegungsrichtlinie).
- Bei Unterbelegung kann die Wohnung gekündigt oder eine Ersatzwohnung angeboten werden. Nach zweimaliger Ablehnung einer Ersatzwohnung kann die Kündigung angedroht werden.
- Mietvertrag in der Regel nur an eine Person.
- Untermiete nur ausnahmsweise und mit Bewilligung des Vorstandes.

Bevorzugend
- Verheiratete oder Alleinerziehende mit Kind(ern) werden bevorzugt (bei grösseren Wohnungen).
- Paare mit festen Partnern.
- Alter.
- Solvenz des Mieters.
- Referenzen.
- Bereits Wohnsitz in der Siedlung.
- In der Siedlung aufgewachsene Personen.
- Verhältnis Ausländer/Schweizer im Haus.
- Bei Ausländern: Kulturkreis, aus welchem diese stammen.
- Hauswartanstellung.
- Vorstandszugehörigkeit.
- Einkommen.

Änderungen
- Bei Unterbelegung (z.B. nach Auszug der Kinder) kann eine kleinere Wohnung angeboten oder die Wohnung gekündigt werden. Nach zweimaliger Ablehnung einer Ersatzwohnung kann die Kündigung angedroht werden.
- Das Ausmass der Unterbelegung, Alter, Gesundheitszustand und Mietdauer werden bei der Entscheidung berücksichtigt.

Weitere Kriterien wie Lohn, Alter, aktueller Wohnort, Familienplanung, Staatsbürgerschaft, Anstellungsverhältnis werden explizit oder implizit in den bevorzugenden Kriterien genannt."
Baugenossenschaft Heubach - Vermietungsbestimmungen,https://www.bg-heubach.ch/images/formulare-reglemente/vermietungsreglement.pdf,Baugenossenschaft Heubach,Vermietungsbestimmungen,PDF,"Zwingend
- Mitglieder müssen selbst in der gemieteten Wohnung wohnen und dort ihren zivilrechtlichen Wohnsitz haben.
- Erwerb von Anteilscheinen (Stammanteile und Wohnungsanteile) entsprechend der Wohnungsgrösse.
- Zahlung des Gesamtbetrags der Anteilscheine und einer Aufnahmegebühr vor Mietantritt.
- Vollständig ausgefülltes Anmeldeformular und aktueller Betreibungsregisterauszug der letzten 3 Jahre (bei Wohnortwechsel alle relevanten Auszüge).
- Keine unvollständigen Bewerbungen oder verweigerte Referenzangaben/Betreibungsregisterauszüge.
- Einhaltung der Belegungsvorschriften (Zimmerzahl/Bewohnerzahl).
- Bei subventionierten Wohnungen: Einhaltung der Vorgaben der Subventionsgeber.

Bevorzugend
- Interne Umsiedlung bei unterbesetzter Wohnung oder Familiennachwuchs.
- Familien und Alleinerziehende mit Kindern werden bevorzugt, danach Ehepaare/Lebenspartnerschaften, dann Einzelpersonen.
- Integrationswille in die Genossenschaft.
- Passende Anzahl Bewohner zur Wohnungsgrösse.
- Gute Referenzen.
- Dringlichkeit des Wohnungswechsels.
- Lokale Verankerung und Engagement im Quartier.
- Vorrang für Personen auf interner Warteliste (z.B. bei Renovationen).

Änderungen
- Bei Unter- oder Überbelegung während des Mietverhältnisses: Angebot einer passenden Ersatzwohnung. Bei Ablehnung von zwei Angeboten (innerhalb eines Monats) bei Überbelegung: Kündigung des Mietverhältnisses und der Mitgliedschaft. Bei Unterbelegung: Unterbelegungszuschlag für max. 3 Jahre, danach Kündigung.
- Bei subventionierten Wohnungen: Veränderungen der Einkommens- und Vermögensverhältnisse müssen gemeldet werden.
- Generell: Werden Bedingungen nicht mehr erfüllt, kann die Genossenschaft das Mitglied ausschliessen und das Mietverhältnis kündigen.

Weitere Kriterien wie Lohnhöhe, Alter, Familienplanung, Staatsbürgerschaft oder Anstellungsverhältnis werden im Reglement nicht explizit als zwingend oder bevorzugend genannt."
Baugenossenschaft Grafenwis - Vermietungsbestimmungen,https://bgg-greifensee.ch/.cm4all/uproc.php/0/Reglement%20Statuten/Reglement-20180831.pdf?cdp=a&_=171f5772370,Baugenossenschaft Grafenwis,Vermietungsbestimmungen,PDF,"Zwingend
- Mitgliedschaft in der Baugenossenschaft Grafenwis ist zwingend erforderlich, um eine Wohnung oder ein Haus mieten zu können.
- Übernahme von Genossenschaftsanteilen (Höhe abhängig von Wohnungsgrösse).
- Gewährung eines Pflichtdarlehens, abgestuft nach steuerbarem Haushaltseinkommen (Nettoeinkommen II).
- Die Wohneinheit muss vom Mieter und seinen Familienangehörigen persönlich bewohnt werden (keine gewerbliche Nutzung, Untermiete nur mit Genehmigung).

Bevorzugend
- 3.5-Zimmerwohnungen können an Einzelpersonen vermietet werden.
- Alle anderen Wohnungen und Häuser werden primär an Familien mit Kindern vermietet.
- Bei Neuvermietungen darf die Zimmerzahl die Zahl der Bewohner/innen um eins überschreiten.

Änderungen
- Nichts gefunden zu den Folgen, wenn Personen die Kriterien (z.B. Kinder ziehen aus, Einkommen steigt) im Verlauf der Zeit nicht mehr erfüllen."
Frohes Wohnen - Vermietungsbestimmungen,https://www.bgwohnen.ch/site/assets/files/1069/vermietungsreglement.pdf,Frohes Wohnen,Vermietungsbestimmungen,PDF,"Zwingend
- Bewerber müssen sich mit den offiziellen Formularen der BFWZ anmelden und diese vollständig und wahrheitsgetreu ausfüllen.
- Die Angaben werden geprüft, und es werden Referenzen über die Bewerber eingeholt.
- Die Aufnahme als Genossenschafter wird durch den Vorstand entschieden.
- Mit Abschluss des Mietvertrages ist die Zeichnung der Anteilscheine fällig.
- Für das Pflichtdarlehen wird ein separater Vertrag erstellt.

Bevorzugend
- Nichts explizit gefunden. Es wird auf die Statuten (Artikel 4) verwiesen, die hier nicht enthalten sind.

Änderungen
- Es findet alle zwei Jahre eine schriftliche Umfrage zur Überprüfung der Belegung statt.
- Bei Unterbelegung (z.B. wenn Kinder ausziehen) muss dies gemeldet werden, und es wird ein Mietzinszuschlag von 10 % erhoben.
- Dem Mieter wird die nächste freiwerdende kleinere Wohnung angeboten.

Weitere Kriterien wie Lohn, Alter, aktueller Wohnort, Familienplanung, Staatsbürgerschaft oder Anstellungsverhältnis werden im Vermietungsreglement nicht genannt. Es wird jedoch auf die Statuten verwiesen, die weitere Kriterien enthalten könnten."
